f4726eb7-0689-a8cf-9a19-0471e897e81a,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""хммнбюжхнммши напюгнбюрекэмши жемрп ""лни смхбепяхрер""",1001325892,0
6ec6f50f-408d-f4f0-33df-f1a5bcab5709,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""кхдеп-л""",2508130500,1
720f48c7-6d44-0e96-fd4d-5366daf4e151,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""абй цпсоо""",9203542206,1
9d54caf1-4054-66fb-303d-7290af9c3dea,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч рнпцнбюъ  ярпнхрекэмюъ йнлоюмхъ ""опелэеп""",4205354745,1
c3a085c4-9e05-f128-4119-62bdd2e02410,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""аюрн""",0326552984,4
fff8a036-4da7-98d9-2ba7-a679a4c9b705,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""хпйсряйхе щбюйсюрнпш""",3812018600,2
f507b176-23bc-1dda-fa8e-36c0a9860a63,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""рнпцнбши йнлокейя""",4027132844,1
ad3f9244-f882-9d1f-9da9-71200370d7e6,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""тхахъ""",7451422431,13
44a648f5-7498-fdac-d095-7403d7bf149e,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ярпнхрекэмюъ йнлоюмхъ ""йпхярюкк""",6914019566,1
f9dec4f2-c6d7-20a8-ebc3-f52010802345,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""аепвщр""",0723000556,0
9a7fa7ad-e6f5-5e99-9585-f235004e3084,31.07.2018,01.01.2018,"наыеярбн я нцпюмхвеммни нрберярбеммнярэч ""рнпцнбши днл ""юркюмр""",5503174570,3
